ID	Bacteria	Host
AgProtect_1687	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1686	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1685	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1684	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1683	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1682	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1681	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1680	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_168	Francisella_tularensis	Homo_sapiens;Oryctolagus_cuniculus_domesticus;Felis_silvestris_catus;Equus_ferus_caballus;Canis_familiaris
AgProtect_1679	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1678	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1677	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1676	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1675	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_1674	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
