ID	Bacteria	Host
AgProtect_1845	Mycobacterium_tuberculosis	Homo_sapiens;Sus_scrofa;Canis_familiaris;Cavia_porcellus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1844	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1843	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1842	Neisseria_meningitidis	Homo_sapiens
AgProtect_1841	Shigella_dysenteriae	Homo_sapiens
AgProtect_1840	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_184	Neisseria_meningitidis	Homo_sapiens
AgProtect_1839	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1838	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1837	Streptococcus_pyogenes	Homo_sapiens
AgProtect_1837	Streptococcus_pyogenes	Homo_sapiens
AgProtect_1836	Chlamydia_trachomatis	Homo_sapiens
AgProtect_1835	Neisseria_meningitidis	Homo_sapiens
AgProtect_1834	Streptococcus_pyogenes	Homo_sapiens
AgProtect_1834	Streptococcus_pyogenes	Homo_sapiens
AgProtect_1833	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1832	Chlamydia_trachomatis	Homo_sapiens
AgProtect_1831	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1830	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_183	Neisseria_meningitidis	Homo_sapiens
AgProtect_1829	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_1828	Haemophilus_influenzae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1827	Bacillus_anthracis	Homo_sapiens;Bos_taurus;Ovis_orientalis_aries;Capra_aegagrus_hircus;Equus_ferus_caballus
AgProtect_1826	Neisseria_meningitidis	Homo_sapiens
AgProtect_1825	Campylobacter_jejuni	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes;Ovis_orientalis_aries;Bos_taurus;Sus_scrofa;Gallus_gallus
AgProtect_1824	Yersinia_pestis	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus
AgProtect_1823	Corynebacterium_pseudotuberculosis	Equus_ferus_caballus;Bos_taurus;Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus
AgProtect_1822	Clostridium_tetani	Homo_sapiens;Equus_ferus_caballus;Ovis_orientalis_aries;Sus_scrofa
